테룽이,288,카이저,983,프라하
혜넹,286,일리움,3565,프라하
먹음쟁이,286,키네시스,1651,바다
훅지른캐릭Il,285,다크나이트,11223,해월
신궁,285,신궁,1548,--없음--
쩝법사21세,284,배틀메이지,4050,밤편지
아루상,283,팔라딘,3826,백선
라쇼님,283,듀얼블레이더,1310,바다
도철떤,283,호영,800,프라하
민지은,282,데몬어벤져,1956,호두
도미닉,282,아크메이지(불독),2528,우월
비싼토끼,282,캐논마스터,576,샤를로트
루찢,282,아델,669,호두
츄앙앙,282,아크메이지(썬콜),1006,프라하
전행남,281,신궁,361,프라하
카와나,281,카데나,486,프라하
견씸,281,은월,4664,바다
핵띳,281,비숍,1016,이해
밍두쪼아,281,아델,452,우월
메가메가빔,281,제논,3108,바다
디딤준,281,엔젤릭버스터,978,바다
집쉔물샌,281,나이트워커,1670,바다
시청역2번출,280,보우마스터,465,프라하
야스,280,은월,12542,프라하
잉진돌,280,나이트로드,304,까망
명지쿤호호,280,호영,548,이해
냐히,280,아크,343,바다
낑짱,280,아란,732,우월
잉낭네,280,카데나,2271,바다
흑우리얌,280,루미너스,170,백선
색월령,280,섀도어,321,안녕하신가영
씨콜,280,카이저,3280,프라하
잔드헌터,280,팔라딘,373,체스
국물맛의비법,280,데몬어벤져,367,리첼
쫑잉네,280,아크메이지(불독),2213,바다
룬토,280,듀얼블레이더,644,우월
공식테러,280,에반,3484,밤편지
이름그대,280,섀도어,1162,안녕하신가영
v은월에이스v,280,은월,510,굿모닝
그런식,280,메르세데스,476,격수
신프롱,280,소울마스터,1220,은행
햄스터글로리,280,아크,567,호두
파황신군,280,루미너스,5495,당근
만춘드레곤,280,아델,199,첫경험
영춘하네,280,팬텀,433,프라하
청은휴,280,나이트로드,299,채홍
강로검,279,아크,239,우월
이욥,279,데몬슬레이어,1293,우월
규니아델,279,아델,318,--없음--
참애기,279,윈드브레이커,1631,당근
챙이패파,279,패스파인더,130,프라하
찌몽잉,279,패스파인더,599,사랑
Jaura,279,듀얼블레이더,1113,--없음--
내전용소마,279,소울마스터,1169,당근
야해져,279,나이트로드,473,당근
포포포로로,279,은월,390,바다
무메이짱,278,듀얼블레이더,83,자유
WB호영,278,호영,139,평화
SnP500,278,캡틴,354,자유
망뭉밍몽,278,블래스터,320,프라하
신멸룡기,278,카이저,349,바다
